Wavelength,Intensity
312.8809278,1431.530156
313.0907058,1454.057813
313.3004737,1495.017188
313.5102318,1419.242344
313.7199798,1460.201719
313.9297179,1462.249688
314.139446,1456.105781
314.3491641,1423.338281
314.5588722,1449.961875
314.7685703,1486.825313
314.9782585,1492.969219
315.1879367,1581.031875
315.3976049,1443.817969
315.607263,1476.585469
315.8169112,1470.441563
316.0265494,1433.578125
316.2361776,1490.92125
316.4457958,1413.098438
316.655404,1449.961875
316.8650021,1441.77
317.0745903,1425.38625
317.2841684,1466.345625
317.4937365,1411.050469
317.7032946,1423.338281
317.9128427,1515.496875
318.1223807,1464.297656
318.3319088,1413.098438
318.5414267,1468.393594
318.7509347,1507.305
318.9604326,1398.762656
319.1699205,1429.482188
319.3793983,1492.969219
319.5888661,1388.522813
319.7983239,1402.858594
320.0077716,1470.441563
320.2172092,1386.474844
320.4266368,1456.105781
320.6360544,1433.578125
320.8454618,1433.578125
321.0548592,1392.61875
321.2642466,1439.722031
321.4736239,1417.194375
321.6829911,1462.249688
321.8923482,1501.161094
322.1016953,1398.762656
322.3110323,1452.009844
322.5203592,1454.057813
322.729676,1435.626094
322.9389827,1499.113125
323.1482794,1425.38625
323.3575659,1443.817969
323.5668424,1503.209063
323.7761087,1452.009844
323.985365,1480.681406
324.1946112,1417.194375
324.4038472,1476.585469
324.6130732,1435.626094
324.822289,1466.345625
325.0314947,1429.482188
325.2406904,1429.482188
325.4498759,1392.61875
325.6590512,1417.194375
325.8682165,1452.009844
326.0773716,1488.873281
326.2865166,1505.257031
326.4956515,1447.913906
326.7047762,1452.009844
326.9138908,1462.249688
327.1229953,1456.105781
327.3320896,1492.969219
327.5411738,1390.570781
327.7502478,1515.496875
327.9593117,1486.825313
328.1683655,1447.913906
328.377409,1439.722031
328.5864425,1501.161094
328.7954657,1529.832656
329.0044788,1421.290313
329.2134818,1513.448906
329.4224746,1497.065156
329.6314572,1478.633438
329.8404296,1466.345625
330.0493918,1464.297656
330.2583439,1513.448906
330.4672858,1484.777344
330.6762175,1505.257031
330.8851391,1468.393594
331.0940504,1462.249688
331.3029515,1501.161094
331.5118425,1413.098438
331.7207233,1474.5375
331.9295938,1447.913906
332.1384542,1445.865938
332.3473044,1425.38625
332.5561443,1476.585469
332.764974,1472.489531
332.9737936,1441.77
333.1826029,1458.15375
333.391402,1435.626094
333.6001909,1419.242344
333.8089695,1454.057813
334.017738,1515.496875
334.2264962,1492.969219
334.4352442,1404.906563
334.6439819,1472.489531
334.8527094,1486.825313
335.0614267,1505.257031
335.2701337,1507.305
335.4788305,1458.15375
335.6875171,1423.338281
335.8961934,1449.961875
336.1048594,1505.257031
336.3135152,1400.810625
336.5221607,1409.0025
336.730796,1492.969219
336.939421,1429.482188
337.1480358,1460.201719
337.3566403,1529.832656
337.5652345,1400.810625
337.7738184,1490.92125
337.9823921,1439.722031
338.1909555,1409.0025
338.3995086,1449.961875
338.6080514,1515.496875
338.816584,1427.434219
339.0251062,1425.38625
339.2336182,1370.091094
339.4421199,1413.098438
339.6506113,1523.68875
339.8590924,1462.249688
340.0675631,1429.482188
340.2760236,1447.913906
340.4844738,1476.585469
340.6929137,1456.105781
340.9013432,1513.448906
341.1097625,1433.578125
341.3181714,1449.961875
341.52657,1419.242344
341.7349583,1382.378906
341.9433363,1452.009844
342.1517039,1548.264375
342.3600612,1439.722031
342.5684082,1429.482188
342.7767448,1449.961875
342.9850711,1476.585469
343.1933871,1513.448906
343.4016927,1499.113125
343.609988,1454.057813
343.8182729,1562.600156
344.0265475,1470.441563
344.2348117,1402.858594
344.4430656,1480.681406
344.6513091,1400.810625
344.8595422,1411.050469
345.067765,1456.105781
345.2759775,1478.633438
